iso_code,date,total_vaccinations,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred
ABW,3/29/21,25766,10166,-1,-1,24.13,9.52
ABW,3/30/21,-1,-1,-1,1278,-1,-1
ABW,3/31/21,-1,-1,-1,1278,-1,-1
ABW,4/1/21,-1,-1,-1,1278,-1,-1
ABW,4/2/21,-1,-1,-1,1278,-1,-1
ABW,4/3/21,-1,-1,-1,1278,-1,-1
ABW,4/4/21,-1,-1,-1,1278,-1,-1
ABW,4/5/21,-1,-1,-1,1278,-1,-1
ABW,4/6/21,-1,-1,-1,1278,-1,-1
ABW,4/7/21,-1,-1,-1,1278,-1,-1
ABW,4/8/21,-1,-1,-1,1278,-1,-1
ABW,4/9/21,-1,-1,-1,1278,-1,-1
ABW,4/10/21,41096,11899,-1,1278,38.49,11.14
ABW,4/11/21,-1,-1,-1,1236,-1,-1
ABW,4/12/21,43073,11934,-1,1195,40.34,11.18
ABW,4/13/21,45588,12025,2515,1372,42.7,11.26
ABW,4/14/21,48200,12142,2612,1562,45.15,11.37
ABW,4/15/21,50546,12565,2346,1715,47.34,11.77
ABW,4/16/21,52955,12994,2409,1877,49.6,12.17
ABW,4/17/21,55582,13812,2627,2069,52.06,12.94
ABW,4/18/21,55651,13814,69,1938,52.12,12.94
ABW,4/19/21,58178,14912,2527,2158,54.49,13.97
ABW,4/20/21,60379,16434,2201,2113,56.55,15.39
ABW,4/21/21,62342,17921,1963,2020,58.39,16.79
ABW,4/22/21,64288,19191,1946,1963,60.21,17.97
ABW,4/23/21,67950,19889,3662,2142,63.64,18.63
ABW,4/24/21,69279,19928,1329,1957,64.89,18.67
ABW,4/25/21,73103,19942,3824,2493,68.47,18.68
ABW,4/26/21,73360,20116,257,2169,68.71,18.84
ABW,4/27/21,-1,-1,-1,1948,-1,-1
ABW,4/28/21,74668,20855,-1,1761,69.94,19.53
ABW,4/29/21,75846,21751,1178,1651,71.04,20.37
ABW,4/30/21,76865,22559,1019,1274,71.99,21.13
AFG,2/22/21,0,-1,-1,-1,0,-1
AFG,2/23/21,-1,-1,-1,1367,-1,-1
AFG,2/24/21,-1,-1,-1,1367,-1,-1
AFG,2/25/21,-1,-1,-1,1367,-1,-1
AFG,2/26/21,-1,-1,-1,1367,-1,-1
AFG,2/27/21,-1,-1,-1,1367,-1,-1
AFG,2/28/21,8200,-1,-1,1367,0.02,-1
AFG,3/1/21,-1,-1,-1,1580,-1,-1
AFG,3/2/21,-1,-1,-1,1794,-1,-1
AFG,3/3/21,-1,-1,-1,2008,-1,-1
AFG,3/4/21,-1,-1,-1,2221,-1,-1
AFG,3/5/21,-1,-1,-1,2435,-1,-1
AFG,3/6/21,-1,-1,-1,2649,-1,-1
AFG,3/7/21,-1,-1,-1,2862,-1,-1
AFG,3/8/21,-1,-1,-1,2862,-1,-1
AFG,3/9/21,-1,-1,-1,2862,-1,-1
AFG,3/10/21,-1,-1,-1,2862,-1,-1
AFG,3/11/21,-1,-1,-1,2862,-1,-1
AFG,3/12/21,-1,-1,-1,2862,-1,-1
AFG,3/13/21,-1,-1,-1,2862,-1,-1
AFG,3/14/21,-1,-1,-1,2862,-1,-1
AFG,3/15/21,-1,-1,-1,2862,-1,-1
AFG,3/16/21,54000,-1,-1,2862,0.14,-1
AFG,3/17/21,-1,-1,-1,2882,-1,-1
AFG,3/18/21,-1,-1,-1,2902,-1,-1
AFG,3/19/21,-1,-1,-1,2921,-1,-1
AFG,3/20/21,-1,-1,-1,2941,-1,-1
AFG,3/21/21,-1,-1,-1,2961,-1,-1
AFG,3/22/21,-1,-1,-1,2980,-1,-1
AFG,3/23/21,-1,-1,-1,3000,-1,-1
AFG,3/24/21,-1,-1,-1,3000,-1,-1
AFG,3/25/21,-1,-1,-1,3000,-1,-1
AFG,3/26/21,-1,-1,-1,3000,-1,-1
AFG,3/27/21,-1,-1,-1,3000,-1,-1
AFG,3/28/21,-1,-1,-1,3000,-1,-1
AFG,3/29/21,-1,-1,-1,3000,-1,-1
AFG,3/30/21,-1,-1,-1,3000,-1,-1
AFG,3/31/21,-1,-1,-1,3000,-1,-1
AFG,4/1/21,-1,-1,-1,3000,-1,-1
AFG,4/2/21,-1,-1,-1,3000,-1,-1
AFG,4/3/21,-1,-1,-1,3000,-1,-1
AFG,4/4/21,-1,-1,-1,3000,-1,-1
AFG,4/5/21,-1,-1,-1,3000,-1,-1
AFG,4/6/21,-1,-1,-1,3000,-1,-1
AFG,4/7/21,120000,-1,-1,3000,0.31,-1
AFG,4/8/21,-1,-1,-1,3714,-1,-1
AFG,4/9/21,-1,-1,-1,4429,-1,-1
AFG,4/10/21,-1,-1,-1,5143,-1,-1
AFG,4/11/21,-1,-1,-1,5857,-1,-1
AFG,4/12/21,-1,-1,-1,6571,-1,-1
AFG,4/13/21,-1,-1,-1,7286,-1,-1
AFG,4/14/21,-1,-1,-1,8000,-1,-1
AFG,4/15/21,-1,-1,-1,8000,-1,-1
AFG,4/16/21,-1,-1,-1,8000,-1,-1
AFG,4/17/21,-1,-1,-1,8000,-1,-1
AFG,4/18/21,-1,-1,-1,8000,-1,-1
AFG,4/19/21,-1,-1,-1,8000,-1,-1
AFG,4/20/21,-1,-1,-1,8000,-1,-1
AFG,4/21/21,-1,-1,-1,8000,-1,-1
AFG,4/22/21,240000,-1,-1,8000,0.62,-1
AGO,3/1/21,0,-1,-1,-1,0,-1
AGO,3/2/21,-1,-1,-1,881,-1,-1
AGO,3/3/21,-1,-1,-1,881,-1,-1
AGO,3/4/21,-1,-1,-1,881,-1,-1
AGO,3/5/21,-1,-1,-1,881,-1,-1
AGO,3/6/21,-1,-1,-1,881,-1,-1
AGO,3/7/21,-1,-1,-1,881,-1,-1
AGO,3/8/21,6169,-1,-1,881,0.02,-1
AGO,3/9/21,-1,-1,-1,1367,-1,-1
AGO,3/10/21,-1,-1,-1,1853,-1,-1
AGO,3/11/21,-1,-1,-1,2339,-1,-1
AGO,3/12/21,-1,-1,-1,2825,-1,-1
AGO,3/13/21,-1,-1,-1,3311,-1,-1
AGO,3/14/21,-1,-1,-1,3797,-1,-1
AGO,3/15/21,-1,-1,-1,4283,-1,-1
AGO,3/16/21,-1,-1,-1,4283,-1,-1
AGO,3/17/21,-1,-1,-1,4283,-1,-1
AGO,3/18/21,49000,-1,-1,4283,0.15,-1
AGO,3/19/21,-1,-1,-1,4577,-1,-1
AGO,3/20/21,-1,-1,-1,4870,-1,-1
AGO,3/21/21,-1,-1,-1,5163,-1,-1
AGO,3/22/21,-1,-1,-1,5457,-1,-1
AGO,3/23/21,-1,-1,-1,5750,-1,-1
AGO,3/24/21,87022,-1,-1,6044,0.26,-1
AGO,3/25/21,-1,-1,-1,6681,-1,-1
AGO,3/26/21,-1,-1,-1,7025,-1,-1
AGO,3/27/21,-1,-1,-1,7369,-1,-1
AGO,3/28/21,-1,-1,-1,7713,-1,-1
AGO,3/29/21,130750,-1,-1,8057,0.4,-1
AGO,3/30/21,-1,-1,-1,8060,-1,-1
AGO,3/31/21,-1,-1,-1,8062,-1,-1
AGO,4/1/21,-1,-1,-1,7720,-1,-1
AGO,4/2/21,-1,-1,-1,7379,-1,-1
AGO,4/3/21,-1,-1,-1,7037,-1,-1
AGO,4/4/21,-1,-1,-1,6695,-1,-1
AGO,4/5/21,-1,-1,-1,6354,-1,-1
AGO,4/6/21,181578,-1,-1,6354,0.55,-1
AGO,4/7/21,-1,-1,-1,7271,-1,-1
AGO,4/8/21,-1,-1,-1,8188,-1,-1
AGO,4/9/21,-1,-1,-1,9105,-1,-1
AGO,4/10/21,-1,-1,-1,10022,-1,-1
AGO,4/11/21,245442,-1,-1,10939,0.75,-1
AGO,4/12/21,-1,-1,-1,12710,-1,-1
AGO,4/13/21,-1,-1,-1,14481,-1,-1
AGO,4/14/21,-1,-1,-1,15335,-1,-1
AGO,4/15/21,-1,-1,-1,16189,-1,-1
AGO,4/16/21,-1,-1,-1,17043,-1,-1
AGO,4/17/21,-1,-1,-1,17897,-1,-1
AGO,4/18/21,-1,-1,-1,18751,-1,-1
AGO,4/19/21,395447,-1,-1,18751,1.2,-1
AGO,4/20/21,-1,-1,-1,18247,-1,-1
AGO,4/21/21,-1,-1,-1,17743,-1,-1
AGO,4/22/21,-1,-1,-1,17240,-1,-1
AGO,4/23/21,456349,-1,-1,16736,1.39,-1
AIA,2/4/21,0,-1,-1,-1,0,-1
AIA,2/5/21,-1,-1,-1,149,-1,-1
AIA,2/6/21,-1,-1,-1,149,-1,-1
AIA,2/7/21,-1,-1,-1,149,-1,-1
AIA,2/8/21,-1,-1,-1,149,-1,-1
AIA,2/9/21,-1,-1,-1,149,-1,-1
AIA,2/10/21,-1,-1,-1,149,-1,-1
AIA,2/11/21,-1,-1,-1,149,-1,-1
AIA,2/12/21,-1,-1,-1,149,-1,-1
AIA,2/13/21,1341,-1,-1,149,8.94,-1
AIA,2/14/21,2762,-1,1421,331,18.41,-1
AIA,2/15/21,-1,-1,-1,323,-1,-1
AIA,2/16/21,-1,-1,-1,316,-1,-1
AIA,2/17/21,-1,-1,-1,309,-1,-1
AIA,2/18/21,-1,-1,-1,301,-1,-1
AIA,2/19/21,-1,-1,-1,294,-1,-1
AIA,2/20/21,-1,-1,-1,286,-1,-1
AIA,2/21/21,-1,-1,-1,97,-1,-1
AIA,2/22/21,-1,-1,-1,97,-1,-1
AIA,2/23/21,-1,-1,-1,97,-1,-1
AIA,2/24/21,-1,-1,-1,97,-1,-1
